Condition    Stage    Image_n    Probe    index    z    y    x    n_rna    coloc
HS    4-cell    Image_04_191016    B04957    82    282    251    12    7    FALSE
HS    4-cell    Image_04_191016    B04957    83    211    296    12    7    FALSE
HS    4-cell    Image_04_191016    B04957    84    400    418    11    6    FALSE
HS    4-cell    Image_04_191016    B04957    85    303    430    12    8    FALSE
HS    4-cell    Image_04_191016    B04957    86    306    486    12    14    FALSE
HS    4-cell    Image_04_191016    B04957    87    263    626    15    15    TRUE
HS    4-cell    Image_04_191016    B04957    88    220    179    19    6    FALSE
HS    4-cell    Image_04_191016    B04957    89    230    207    13    8    FALSE
HS    4-cell    Image_04_191016    B04957    90    196    268    19    4    FALSE
HS    4-cell    Image_04_191016    B04957    91    337    330    12    8    FALSE
HS    4-cell    Image_04_191016    B04957    92    300    343    14    5    FALSE
HS    4-cell    Image_04_191016    B04957    93    225    71    13    6    FALSE
HS    4-cell    Image_04_191016    B04957    94    109    285    13    7    FALSE
HS    4-cell    Image_04_191016    B04957    95    401    461    13    5    FALSE
HS    4-cell    Image_04_191016    B04957    96    97    306    15    5    FALSE
HS    4-cell    Image_04_191016    B04957    97    393    234    16    6    FALSE
